Id,Price
4567,159340.18677670916
5925,125250.96190266756
960,148931.3051654765
3848,144677.2246021318
746,233341.66868182187
868,336819.18532163487
672,128711.56291463618
2471,199670.6965590342
4510,120568.27904391017
8354,257228.61845408528
6393,170439.56847148272
13270,229378.85455299183
5250,316063.85934681573
16751,164880.67484594218
11404,126071.18784276274
10588,314636.33975683706
14925,211120.68505230546
6791,216293.79037217208
16097,182116.79081539807
16428,362833.36445535265
6945,343203.35284504585
3190,185413.29794245324
15709,395585.15180556616
13155,147739.44828017472
7675,194838.18168708897
14686,215795.55524270385
609,171819.55552939142
11155,159980.9125617541
10869,195414.57514273247
15742,184755.89940258223
9245,192160.72721912916
3340,169754.41537883066
2359,273988.28195315436
8070,192258.9061807121
13707,121345.01386737775
16079,282639.01178373065
15937,258915.03348985675
14090,178664.40675893324
9008,211308.66945299355
16384,171625.13718088192
11657,257431.45308852434
13151,186967.1897899177
8990,153512.85545206757
11857,188227.7748372206
1565,169617.81858056728
8174,122429.34614114289
9247,250581.8249776878
10478,215170.7935826479
15509,144857.38937548405
8306,238777.18337572858
6642,178285.2902234123
7472,198959.50761805955
15989,137194.24130134436
13682,128576.68243111219
163,258652.92479895623
7076,182595.81314386267
7478,304878.3950504955
3029,180278.75632707213
1814,143070.44422173552
10057,125590.98379923849
15100,195634.93486670335
12694,219680.1801016057
6291,172300.12890885025
12603,197381.39392243867
3218,238934.47476074693
13456,128525.37358394469
10170,222580.2857178839
4530,167549.2171832924
13329,170660.17384888855
4820,164673.5732278692
10896,183959.8432070871
13416,124487.10950170216
2701,247602.97182029087
11265,325601.4168556271
9189,250932.71447840356
1858,165105.07091153826
14536,238642.97922323988
6199,305861.73666920053
14730,157744.48633805895
7510,242825.45179232303
15505,172682.73251096866
7446,170003.4232221707
14016,188576.61074758484
14113,119210.97955787292
8721,303990.00967831357
6193,333992.3944096921
5717,184315.78830589104
5427,273756.5147057285
9520,490552.53803384525
6869,104412.71440829796
1658,155771.1970094273
6639,205949.26031446733
6283,184175.76668414622
6257,125560.2199898081
15235,176779.59203483415
902,269675.25316063914
8932,194979.81688362005
16469,383942.83330606093
2825,220055.52267464867
6450,431460.30214652437
11366,181867.2741558994
3801,338896.45418745704
11385,193591.07821520208
1079,181857.13281645734
3202,238198.38011034753
